,category,area,Type of use,Type of institution
778,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Universities
779,precipitation,Energy,Research,Universities
780,precipitation,Forestry,Research,Universities
781,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
785,regional simulation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
787,flow,Hidrology,Data Analysis,Universities
788,precipitation,Hidrology,Data Analysis,Universities
789,precipitation,Mathematics/Statistics/Modeling,Research,Universities
790,max/min temperature,Hidrology,Data Analysis,Universities
791,precipitation,Energy,Data Analysis,Universities
792,precipitation,Hidrology,Data Analysis,Public sector (state agencies)
793,max/min temperature,Economy/Sales/trends markets,Data Analysis,Universities
797,flow,Hidrology,Data Analysis,Private sector (companies)
799,max/min temperature,Mining,Data Analysis,Private sector (companies)
801,max/min temperature,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
802,max/min temperature,Environmental,Data Analysis,Private sector (companies)
806,flow,Hidrology,Research,Universities
807,precipitation,Environmental,Research,Universities
809,precipitation,Hidrology,Data Analysis,Universities
810,precipitation,Hidrology,Data Analysis,Universities
811,precipitation,Hidrology,Data Analysis,Universities
815,precipitation,Economy/Sales/trends markets,Research,Universities
818,precipitation,Environmental,Research,Universities
819,precipitation,Hidrology,Data Analysis,Private sector (companies)
820,max/min temperature,Meteorology,Data Analysis,Private sector (companies)
821,regional simulation,Agro/Agroindustry/Irrigation,Data Analysis,Universities
823,precipitation,Meteorology,Research,Universities
824,global simulation,Hidrology,Engineering projects,Private sector (companies)
825,regional simulation,Hidrology,Engineering projects,Private sector (companies)
826,precipitation,Environmental,Engineering projects,Private sector (companies)
828,flow,Hidrology,Research,Universities
829,cr2met,Agro/Agroindustry/Irrigation,Data Analysis,Public sector (state agencies)
830,precipitation,Meteorology,Data Analysis,Private sector (companies)
831,precipitation,Meteorology,Data Analysis,Universities
834,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
841,precipitation,Meteorology,Data Analysis,Private sector (companies)
842,flow,Hidrology,Data Analysis,Universities
843,max/min temperature,Meteorology,Data Analysis,Universities
844,max/min temperature,Meteorology,Data Analysis,Public sector (state agencies)
846,precipitation,Economy/Sales/trends markets,Research,Private sector (companies)
852,precipitation,Hidrology,Data Analysis,Private sector (companies)
854,regional simulation,Forestry,Research,Universities
856,precipitation,Health,Data Analysis,Private sector (companies)
857,precipitation,Environmental,Research,Universities
860,flow,Hidrology,Research,Universities
863,precipitation,Building/Architecture,Engineering projects,Universities
864,precipitation,Meteorology,Data Analysis,Private sector (companies)
866,cr2met,Meteorology,Data Analysis,Universities
867,precipitation,Meteorology,Teaching,Universities
868,regional simulation,Hidrology,Data Analysis,Private sector (companies)
870,precipitation,Environmental,Data Analysis,Universities
871,cr2met,Forestry,Data Analysis,Universities
872,cr2met,Forestry,Research,Universities
873,precipitation,Meteorology,Research,Universities
874,max/min temperature,Meteorology,Research,Public sector (state agencies)
875,cr2met,Meteorology,Research,Center Research
876,flow,Hidrology,Data Analysis,Private sector (companies)
877,precipitation,Hidrology,Research,Universities
878,precipitation,Forestry,Data Analysis,Private sector (companies)
879,precipitation,Hidrology,Research,Universities
880,max/min temperature,Energy,Data Analysis,Universities
881,precipitation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
882,precipitation,Meteorology,Data Analysis,Universities
887,flow,Hidrology,Data Analysis,Universities
889,cr2met,Meteorology,Research,Universities
891,regional simulation,Meteorology,Data Analysis,Universities
892,global simulation,Agro/Agroindustry/Irrigation,Research,Public sector (state agencies)
893,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Universities
894,regional simulation,Environmental,Data Analysis,Universities
895,precipitation,Meteorology,Data Analysis,Private sector (companies)
897,precipitation,Environmental,Research,Universities
898,precipitation,Sanitary Services,Research,Universities
899,cr2met,GIS/Teledetection,Data Analysis,Universities
900,flow,Hidrology,Research,Universities
901,regional simulation,Hidrology,Research,Universities
903,precipitation,Hidrology,Teaching,Universities
905,precipitation,Hidrology,Research,Universities
907,flow,Meteorology,Data Analysis,Public sector (state agencies)
908,precipitation,Meteorology,Data Analysis,Public sector (state agencies)
909,precipitation,Meteorology,Data Analysis,Public sector (state agencies)
910,precipitation,Hidrology,Research,Private sector (companies)
913,regional simulation,Meteorology,Research,Universities
918,precipitation,Hidrology,Data Analysis,Universities
919,regional simulation,Building/Architecture,Data Analysis,Universities
920,precipitation,Sociology,Research,Center Research
921,flow,Building/Architecture,Engineering projects,Private sector (companies)
922,precipitation,Building/Architecture,Data Analysis,Universities
923,regional simulation,Environmental,Engineering projects,Private sector (companies)
924,regional simulation,Hidrology,Data Analysis,Universities
925,regional simulation,Hidrology,Data Analysis,Universities
928,regional simulation,Meteorology,Research,Private sector (companies)
929,precipitation,Economy/Sales/trends markets,Research,Universities
931,precipitation,Building/Architecture,Research,Universities
932,max/min temperature,Building/Architecture,Data Analysis,Private sector (companies)
933,regional simulation,Meteorology,Data Analysis,Private sector (companies)
935,cr2met,Economy/Sales/trends markets,Engineering projects,Private sector (companies)
936,precipitation,Meteorology,Data Analysis,Universities
937,precipitation,Meteorology,Research,Universities
938,precipitation,Mathematics/Statistics/Modeling,Teaching,Universities
939,precipitation,Hidrology,Data Analysis,Universities
940,cr2met,Meteorology,Research,Universities
942,regional simulation,Meteorology,Data Analysis,Universities
943,precipitation,Building/Architecture,Data Analysis,Universities
944,max/min temperature,GIS/Teledetection,Research,Universities
945,regional simulation,Meteorology,Data Analysis,Universities
946,precipitation,Communications,Data Analysis,Private sector (companies)
947,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Trade-union associations and other organizations
952,cr2met,Meteorology,Research,Universities
953,precipitation,Building/Architecture,Data Analysis,Private sector (companies)
954,flow,Hidrology,Data Analysis,Private sector (companies)
956,global simulation,Hidrology,Data Analysis,Universities
957,precipitation,Hidrology,Data Analysis,Private sector (companies)
958,flow,Hidrology,Research,Universities
959,regional simulation,Hidrology,Data Analysis,Private sector (companies)
960,regional simulation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
961,precipitation,Hidrology,Data Analysis,Private sector (companies)
962,cr2met,Agro/Agroindustry/Irrigation,Data Analysis,Universities
965,precipitation,Hidrology,Data Analysis,Universities
966,regional simulation,Geografy/Geophysics/Geology,Data Analysis,Universities
967,precipitation,Forestry,Research,Universities
968,precipitation,Meteorology,Research,Universities
969,precipitation,Geografy/Geophysics/Geology,Data Analysis,Universities
970,precipitation,Hidrology,Data Analysis,Universities
971,precipitation,Mining,Research,Universities
972,precipitation,Meteorology,Research,Universities
973,regional simulation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
974,regional simulation,Environmental,Data Analysis,Universities
975,precipitation,Sociology,Research,Universities
978,regional simulation,Hidrology,Data Analysis,Universities
979,regional simulation,Health,Data Analysis,Public sector (state agencies)
981,regional simulation,Geografy/Geophysics/Geology,Research,Universities
983,regional simulation,Meteorology,Data Analysis,Private sector (companies)
984,regional simulation,Agro/Agroindustry/Irrigation,Data Analysis,Universities
985,regional simulation,Health,Research,Private sector (companies)
988,flow,Oceanography,Data Analysis,Private sector (companies)
989,regional simulation,Hidrology,Research,Universities
991,cr2met,Hidrology,Research,Center Research
992,regional simulation,Geografy/Geophysics/Geology,Research,Universities
995,flow,Mathematics/Statistics/Modeling,Data Analysis,Universities
997,regional simulation,Agro/Agroindustry/Irrigation,Research,Center Research
998,regional simulation,Environmental,Data Analysis,Public sector (state agencies)
999,regional simulation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
1002,regional simulation,Meteorology,Data Analysis,Universities
1003,regional simulation,Hidrology,Research,Universities
1004,cr2met,Forestry,Data Analysis,Universities
1005,cr2met,Geografy/Geophysics/Geology,Teaching,Universities
1007,precipitation,Mathematics/Statistics/Modeling,Data Analysis,Public sector (state agencies)
1009,precipitation,Mathematics/Statistics/Modeling,Data Analysis,Universities
1012,regional simulation,Meteorology,Data Analysis,Private sector (companies)
1015,precipitation,GIS/Teledetection,Data Analysis,Universities
1016,regional simulation,Agro/Agroindustry/Irrigation,Data Analysis,Public sector (state agencies)
1018,cr2met,Meteorology,Data Analysis,Universities
1019,precipitation,Ecology,Data Analysis,Universities
1020,cr2met,Hidrology,Engineering projects,Private sector (companies)
1021,precipitation,Hidrology,Data Analysis,Universities
1022,cr2met,Forestry,Data Analysis,Public sector (state agencies)
1024,precipitation,Environmental,Data Analysis,Universities
1025,precipitation,Mining,Data Analysis,Private sector (companies)
1026,regional simulation,Environmental,Research,Universities
1027,global simulation,Hidrology,Data Analysis,Private sector (companies)
1028,regional simulation,Environmental,Data Analysis,Universities
1029,regional simulation,Environmental,Data Analysis,Private sector (companies)
1030,regional simulation,Energy,Engineering projects,Private sector (companies)
1034,max/min temperature,Health,Data Analysis,Trade-union associations and other organizations
1037,precipitation,Mathematics/Statistics/Modeling,Data Analysis,Universities
1040,precipitation,Health,Research,Universities
1041,regional simulation,Meteorology,Data Analysis,Universities
1042,precipitation,Hidrology,Data Analysis,Universities
1043,precipitation,Meteorology,Data Analysis,Universities
1044,regional simulation,Agro/Agroindustry/Irrigation,Data Analysis,Universities
1046,precipitation,Meteorology,Research,Private sector (companies)
1047,precipitation,Sociology,Data Analysis,Public sector (state agencies)
1049,precipitation,Meteorology,Data Analysis,Universities
1050,precipitation,GIS/Teledetection,Data Analysis,Universities
1051,flow,Hidrology,Data Analysis,Universities
1052,precipitation,Hidrology,Data Analysis,Universities
1053,regional simulation,Health,Research,Public sector (state agencies)
1055,max/min temperature,Mining,Research,Private sector (companies)
1056,regional simulation,Geografy/Geophysics/Geology,Data Analysis,Universities
1057,regional simulation,Energy,Engineering projects,Universities
1058,precipitation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
1059,cr2met,Meteorology,Research,Universities
1060,precipitation,Hidrology,Data Analysis,Private sector (companies)
1061,global simulation,Communications,Data Analysis,Private sector (companies)
1062,regional simulation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
1063,flow,Hidrology,Data Analysis,Public sector (state agencies)
1064,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Universities
1065,precipitation,Building/Architecture,Data Analysis,Other educational institutions
1069,precipitation,Health,Data Analysis,Universities
1073,max/min temperature,Forestry,Data Analysis,Private sector (companies)
1076,flow,Agro/Agroindustry/Irrigation,Data Analysis,Public sector (state agencies)
1083,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
1085,regional simulation,Meteorology,Data Analysis,Universities
1090,precipitation,Energy,Data Analysis,Universities
1091,global simulation,Sociology,Data Analysis,Universities
1094,max/min temperature,Forestry,Data Analysis,Trade-union associations and other organizations
1095,regional simulation,Meteorology,Data Analysis,Universities
1100,precipitation,Mathematics/Statistics/Modeling,Data Analysis,Private sector (companies)
1101,regional simulation,Agro/Agroindustry/Irrigation,Data Analysis,Universities
1102,global simulation,Environmental,Research,Universities
1104,precipitation,Hidrology,Data Analysis,Universities
1105,regional simulation,Hidrology,Research,Universities
1108,regional simulation,Meteorology,Research,Center Research
1109,global simulation,Hidrology,Research,Private sector (companies)
1110,precipitation,Mathematics/Statistics/Modeling,Data Analysis,Private sector (companies)
1114,precipitation,Economy/Sales/trends markets,Data Analysis,Universities
1115,precipitation,Economy/Sales/trends markets,Data Analysis,Universities
1116,global simulation,Mathematics/Statistics/Modeling,Data Analysis,Universities
1119,max/min temperature,Meteorology,Data Analysis,Private sector (companies)
1120,flow,Oceanography,Data Analysis,Universities
1121,regional simulation,Environmental,Research,Universities
1122,precipitation,Oceanography,Research,Universities
1123,cr2met,GIS/Teledetection,Data Analysis,Center Research
1124,precipitation,Hidrology,Data Analysis,Private sector (companies)
1125,flow,Sociology,Data Analysis,Universities
1126,precipitation,Hidrology,Data Analysis,Public sector (state agencies)
1127,precipitation,Forestry,Data Analysis,Universities
1129,regional simulation,Forestry,Research,Universities
1131,precipitation,Forestry,Research,Universities
1133,flow,Environmental,Data Analysis,Private sector (companies)
1134,global simulation,Ecology,Data Analysis,Universities
1136,max/min temperature,Meteorology,Data Analysis,Universities
1137,precipitation,Hidrology,Data Analysis,Universities
1140,precipitation,Ecology,Data Analysis,Universities
1141,regional simulation,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
1145,regional simulation,Meteorology,Data Analysis,Private sector (companies)
1148,precipitation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
1153,regional simulation,Law,Data Analysis,Public sector (state agencies)
1154,regional simulation,Environmental,Data Analysis,Universities
1155,regional simulation,Hidrology,Data Analysis,Universities
1157,precipitation,Mathematics/Statistics/Modeling,Research,Universities
1159,precipitation,Building/Architecture,Data Analysis,Trade-union associations and other organizations
1160,precipitation,Hidrology,Data Analysis,Private sector (companies)
1163,cr2met,Agro/Agroindustry/Irrigation,Research,Universities
1166,regional simulation,Hidrology,Research,Private sector (companies)
1168,precipitation,Hidrology,Data Analysis,Universities
1169,precipitation,Agro/Agroindustry/Irrigation,Research,Universities
1172,regional simulation,Environmental,Research,Universities
1173,regional simulation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
1177,precipitation,Forestry,Data Analysis,Universities
1183,precipitation,Mining,Data Analysis,Public sector (state agencies)
1184,regional simulation,Energy,Data Analysis,Public sector (state agencies)
1186,precipitation,Mathematics/Statistics/Modeling,Data Analysis,Universities
1187,cr2met,Hidrology,Data Analysis,Private sector (companies)
1188,flow,Hidrology,Data Analysis,Universities
1189,precipitation,Hidrology,Data Analysis,Private sector (companies)
1190,cr2met,Forestry,Research,Universities
1191,precipitation,Meteorology,Data Analysis,Universities
1193,precipitation,Ecology,Data Analysis,Universities
1194,cr2met,Hidrology,Data Analysis,Universities
1199,precipitation,GIS/Teledetection,Data Analysis,Universities
1201,regional simulation,Environmental,Research,Private sector (companies)
1202,regional simulation,Meteorology,Research,Universities
1203,flow,Hidrology,Data Analysis,Universities
1206,precipitation,Ecology,Data Analysis,Other educational institutions
1207,cr2met,Geografy/Geophysics/Geology,Data Analysis,Universities
1208,flow,Energy,Data Analysis,Private sector (companies)
1210,regional simulation,Meteorology,Research,Universities
1211,regional simulation,Hidrology,Data Analysis,Universities
1214,global simulation,Economy/Sales/trends markets,Data Analysis,Trade-union associations and other organizations
1215,global simulation,Hidrology,Research,Universities
1216,regional simulation,Environmental,Research,Public sector (state agencies)
1218,flow,Mathematics/Statistics/Modeling,Data Analysis,Universities
1219,flow,Hidrology,Data Analysis,Universities
1220,global simulation,Oceanography,Data Analysis,Universities
1221,regional simulation,Hidrology,Research,Private sector (companies)
1222,global simulation,Energy,Data Analysis,Private sector (companies)
1223,global simulation,Energy,Data Analysis,Universities
1224,global simulation,Energy,Data Analysis,Universities
1231,regional simulation,Environmental,Data Analysis,Public sector (state agencies)
1232,flow,Meteorology,Data Analysis,Universities
1233,regional simulation,Environmental,Research,Universities
1234,flow,Mathematics/Statistics/Modeling,Data Analysis,Universities
1236,precipitation,Hidrology,Data Analysis,Universities
1237,precipitation,Environmental,Research,Universities
1238,precipitation,Meteorology,Research,Universities
1239,regional simulation,Hidrology,Research,Universities
1240,precipitation,Economy/Sales/trends markets,Research,Private sector (companies)
1241,precipitation,Economy/Sales/trends markets,Research,Universities
1242,precipitation,Hidrology,Engineering projects,Private sector (companies)
1243,max/min temperature,Meteorology,Research,Universities
1245,temperature,Building/Architecture,Data Analysis,Universities
1246,temperature,Hidrology,Research,Universities
1247,global simulation,Meteorology,Research,Universities
1248,cr2met,Hidrology,Engineering projects,Private sector (companies)
1249,regional simulation,Tourism,Data Analysis,Private sector (companies)
1250,regional simulation,Meteorology,Data Analysis,Universities
1251,temperature,Environmental,Research,Universities
1252,mma simulation,Hidrology,Research,Center Research
1253,flow,Meteorology,Data Analysis,Universities
1254,precipitation,Tourism,Data Analysis,Private sector (companies)
1255,temperature,Mathematics/Statistics/Modeling,Research,Universities
1256,camels,Hidrology,Research,Universities
1257,cr2met,Meteorology,Research,Universities
1258,temperature,Hidrology,Data Analysis,Universities
1259,mma simulation,Meteorology,Research,Universities
1260,regional simulation,Mining,Research,Private sector (companies)
1261,regional simulation,Meteorology,Research,Universities
1262,flow,Hidrology,Data Analysis,Universities
1263,flow,Hidrology,Research,Public sector (state agencies)
1264,temperature,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
1265,temperature,Geografy/Geophysics/Geology,Research,Universities
1267,global simulation,Hidrology,Research,Private sector (companies)
1269,precipitation,Forestry,Research,Universities
1270,global simulation,Environmental,Research,Private sector (companies)
1271,regional simulation,Environmental,Research,Universities
1272,precipitation,Agro/Agroindustry/Irrigation,Research,Universities
1275,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
1276,camels,Mining,Engineering projects,Private sector (companies)
1277,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Public sector (state agencies)
1278,precipitation,Environmental,Research,Public sector (state agencies)
1279,precipitation,Mining,Research,Universities
1280,precipitation,Meteorology,Engineering projects,Private sector (companies)
1282,mma simulation,Meteorology,Research,Universities
1283,mma simulation,Meteorology,Research,Universities
1284,temperature,Health,Research,Universities
1285,global simulation,Environmental,Research,Universities
1286,regional simulation,Hidrology,Research,Universities
1289,precipitation,Mathematics/Statistics/Modeling,Teaching,Other educational institutions
1290,precipitation,Environmental,Research,Private sector (companies)
1297,precipitation,Hidrology,Research,Public sector (state agencies)
1298,temperature,Mining,Engineering projects,Private sector (companies)
1299,flow,Fishing/Aquaculture,Research,Universities
1300,precipitation,Hidrology,Research,Universities
1301,precipitation,Building/Architecture,Engineering projects,Private sector (companies)
1302,temperature,Energy,Research,Universities
1303,flow,Hidrology,Research,Universities
1304,temperature,Forestry,Research,Universities
1305,mma simulation,Agro/Agroindustry/Irrigation,Research,Center Research
1306,cr2met,Meteorology,Research,Universities
1307,temperature,Meteorology,Data Analysis,Universities
1308,regional simulation,Meteorology,Research,Universities
1309,precipitation,Hidrology,Data Analysis,Trade-union associations and other organizations
1310,mma simulation,Environmental,Data Analysis,Public sector (state agencies)
1311,camels,Hidrology,Data Analysis,Universities
1312,flow,Building/Architecture,Engineering projects,Private sector (companies)
1313,flow,Environmental,Engineering projects,Private sector (companies)
1314,regional simulation,Environmental,Research,Center Research
1316,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Public sector (state agencies)
1317,precipitation,Environmental,Data Analysis,Private sector (companies)
1318,precipitation,Environmental,Research,Private sector (companies)
1319,cr2met,Meteorology,Data Analysis,Universities
1320,cr2met,Environmental,Research,Universities
1321,mma simulation,Hidrology,Research,Universities
1323,regional simulation,Sanitary Services,Data Analysis,Public sector (state agencies)
1324,precipitation,Environmental,Data Analysis,Public sector (state agencies)
1325,max/min temperature,Meteorology,Data Analysis,Universities
1326,cr2met,GIS/Teledetection,Data Analysis,Universities
1327,camels,Meteorology,Research,Universities
1328,max/min temperature,Mathematics/Statistics/Modeling,Research,Universities
1329,regional simulation,Meteorology,Research,Universities
1330,precipitation,Building/Architecture,Engineering projects,Public sector (state agencies)
1331,precipitation,Environmental,Engineering projects,Private sector (companies)
1332,mma simulation,Hidrology,Engineering projects,Private sector (companies)
1333,precipitation,Forestry,Research,Private sector (companies)
1334,mma simulation,Agro/Agroindustry/Irrigation,Teaching,Other educational institutions
1335,mma simulation,Agro/Agroindustry/Irrigation,Teaching,Universities
1336,mma simulation,Agro/Agroindustry/Irrigation,Research,Other educational institutions
1337,camels,Agro/Agroindustry/Irrigation,Research,Private sector (companies)
1338,regional simulation,Agro/Agroindustry/Irrigation,Research,Universities
1339,cr2met,Environmental,Research,Universities
1340,cr2met,Environmental,Data Analysis,Private sector (companies)
1341,flow,Hidrology,Data Analysis,Private sector (companies)
1342,flow,Hidrology,Research,Universities
1343,precipitation,Agro/Agroindustry/Irrigation,Teaching,Trade-union associations and other organizations
1344,regional simulation,Environmental,Data Analysis,NGO
1345,regional simulation,Forestry,Research,Universities
1346,regional simulation,Environmental,Research,Universities
1347,flow,Hidrology,Research,Universities
1348,precipitation,Meteorology,Data Analysis,Universities
1349,precipitation,Environmental,Research,Universities
1350,cr2met,Ecology,Teaching,Universities
1351,precipitation,Meteorology,Data Analysis,Private sector (companies)
1352,precipitation,Hidrology,Data Analysis,Public sector (state agencies)
1353,precipitation,Mining,Research,Private sector (companies)
1354,temperature,Meteorology,Data Analysis,Universities
1355,temperature,Economy/Sales/trends markets,Teaching,Universities
1356,mma simulation,Forestry,Research,Universities
1357,regional simulation,Agro/Agroindustry/Irrigation,Research,Universities
1358,temperature,Economy/Sales/trends markets,Engineering projects,Universities
1359,mma simulation,Tourism,Data Analysis,Private sector (companies)
1360,regional simulation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
1361,flow,Hidrology,Data Analysis,Public sector (state agencies)
1363,precipitation,Economy/Sales/trends markets,Teaching,Private sector (companies)
1364,cr2met,Forestry,Research,Universities
1365,cr2met,Forestry,Research,Universities
1366,precipitation,Forestry,Data Analysis,Public sector (state agencies)
1367,precipitation,Forestry,Data Analysis,Public sector (state agencies)
1368,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
1369,precipitation,Building/Architecture,Teaching,Trade-union associations and other organizations
1370,precipitation,Environmental,Teaching,Other educational institutions
1371,precipitation,Meteorology,Research,Universities
1372,regional simulation,Environmental,Teaching,Universities
1373,cr2met,Hidrology,Research,Universities
1374,precipitation,Hidrology,Research,Universities
1375,regional simulation,GIS/Teledetection,Engineering projects,Universities
1376,camels,Environmental,Research,Universities
1377,precipitation,Hidrology,Data Analysis,Universities
1378,cr2met,Hidrology,Research,Universities
1379,temperature,Building/Architecture,Engineering projects,Private sector (companies)
1380,regional simulation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
1381,temperature,Hidrology,Research,Universities
1382,temperature,Energy,Engineering projects,Universities
1383,regional simulation,Environmental,Data Analysis,Private sector (companies)
1384,regional simulation,Environmental,Research,NGO
1385,regional simulation,Environmental,Research,Universities
1387,flow,Environmental,Research,Universities
1388,precipitation,Hidrology,Data Analysis,Universities
1389,precipitation,Hidrology,Data Analysis,Universities
1390,temperature,Hidrology,Data Analysis,Universities
1391,global simulation,Agro/Agroindustry/Irrigation,Data Analysis,Public sector (state agencies)
1392,regional simulation,Meteorology,Data Analysis,Universities
1393,temperature,Building/Architecture,Data Analysis,Other educational institutions
1394,regional simulation,Ecology,Data Analysis,Universities
1395,cr2met,Environmental,Research,Universities
1396,precipitation,Environmental,Data Analysis,Private sector (companies)
1397,precipitation,Environmental,Research,Center Research
1398,precipitation,Environmental,Research,Universities
1399,global simulation,Energy,Data Analysis,Universities
1400,mma simulation,Energy,Data Analysis,Universities
1402,precipitation,Meteorology,Data Analysis,Public sector (state agencies)
1403,mma simulation,Environmental,Data Analysis,Private sector (companies)
1404,precipitation,Hidrology,Engineering projects,Public sector (state agencies)
1405,mma simulation,Environmental,Research,Universities
1406,mma simulation,Hidrology,Research,Universities
1407,regional simulation,Hidrology,Data Analysis,Center Research
1408,precipitation,Mining,Data Analysis,Private sector (companies)
1409,temperature,Hidrology,Teaching,Universities
1410,max/min temperature,GIS/Teledetection,Research,Universities
1411,regional simulation,Meteorology,Research,Universities
1412,regional simulation,Meteorology,Engineering projects,Private sector (companies)
1413,cr2met,Hidrology,Teaching,Universities
1414,flow,Energy,Research,Universities
1415,precipitation,Hidrology,Data Analysis,Universities
1416,max/min temperature,Building/Architecture,Research,Universities
1417,temperature,Building/Architecture,Research,Private sector (companies)
1418,regional simulation,Hidrology,Research,Universities
1419,flow,Environmental,Data Analysis,Universities
1420,precipitation,Building/Architecture,Data Analysis,Private sector (companies)
1421,precipitation,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
1422,precipitation,Hidrology,Data Analysis,Universities
1423,precipitation,Communications,Research,Universities
1424,temperature,Agro/Agroindustry/Irrigation,Research,Universities
1425,camels,Hidrology,Research,Universities
1428,cr2met,Environmental,Research,Universities
1429,flow,Hidrology,Research,Universities
1430,precipitation,Environmental,Data Analysis,Public sector (state agencies)
1431,regional simulation,Environmental,Data Analysis,NGO
1432,cr2met,Hidrology,Engineering projects,Universities
1433,regional simulation,Energy,Research,Universities
1434,regional simulation,Agro/Agroindustry/Irrigation,Engineering projects,Universities
1435,regional simulation,Agro/Agroindustry/Irrigation,Research,Universities
1436,regional simulation,Hidrology,Engineering projects,Universities
1437,precipitation,Hidrology,Data Analysis,Universities
1438,temperature,Hidrology,Data Analysis,Universities
1439,temperature,Oceanography,Research,Universities
1441,mma simulation,Hidrology,Research,Universities
1442,flow,Agro/Agroindustry/Irrigation,Data Analysis,Universities
1443,precipitation,Hidrology,Data Analysis,Universities
1444,regional simulation,Hidrology,Research,Center Research
1445,regional simulation,Hidrology,Teaching,Public sector (state agencies)
1446,regional simulation,Meteorology,Research,Universities
1447,flow,Hidrology,Data Analysis,Universities
1448,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
1449,precipitation,Hidrology,Data Analysis,Universities
1450,precipitation,Meteorology,Teaching,Universities
1451,max/min temperature,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
1453,regional simulation,Environmental,Research,Universities
1454,precipitation,Meteorology,Research,Universities
1455,precipitation,Energy,Engineering projects,Private sector (companies)
1456,regional simulation,Law,Data Analysis,Private sector (companies)
1457,temperature,Fishing/Aquaculture,Data Analysis,Universities
1458,regional simulation,Sociology,Data Analysis,NGO
1459,regional simulation,Environmental,Research,Universities
1460,regional simulation,Building/Architecture,Research,Universities
1461,flow,Agro/Agroindustry/Irrigation,Data Analysis,Other educational institutions
1462,precipitation,Meteorology,Research,Universities
1463,precipitation,Agro/Agroindustry/Irrigation,Research,Universities
1464,regional simulation,Hidrology,Data Analysis,Trade-union associations and other organizations
1465,precipitation,Building/Architecture,Data Analysis,Private sector (companies)
1466,precipitation,Meteorology,Research,Center Research
1467,precipitation,Meteorology,Research,Center Research
1468,precipitation,Hidrology,Research,Universities
1469,temperature,Hidrology,Data Analysis,Universities
1470,regional simulation,Economy/Sales/trends markets,Data Analysis,Universities
1471,mma simulation,Hidrology,Research,Universities
1472,regional simulation,Meteorology,Research,Universities
1473,regional simulation,Meteorology,Research,Universities
1474,regional simulation,Meteorology,Data Analysis,Universities
1475,cr2met,Sociology,Research,Universities
1476,mma simulation,Environmental,Research,Universities
1477,regional simulation,Communications,Research,Private sector (companies)
1478,regional simulation,Environmental,Research,Universities
1479,precipitation,Hidrology,Engineering projects,Private sector (companies)
1480,regional simulation,Meteorology,Data Analysis,Universities
1482,regional simulation,Hidrology,Research,Universities
1483,precipitation,Environmental,Research,Universities
1484,mma simulation,Forestry,Research,Universities
1485,regional simulation,Forestry,Data Analysis,Universities
1486,regional simulation,Hidrology,Teaching,Universities
1487,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
1488,precipitation,Meteorology,Data Analysis,Private sector (companies)
1489,precipitation,Forestry,Data Analysis,Public sector (state agencies)
1491,precipitation,Environmental,Research,Center Research
1492,temperature,Sociology,Data Analysis,Universities
1493,global simulation,Hidrology,Data Analysis,Private sector (companies)
1494,mma simulation,Meteorology,Research,Center Research
1495,max/min temperature,GIS/Teledetection,Research,Center Research
1496,flow,Agro/Agroindustry/Irrigation,Teaching,Private sector (companies)
1497,global simulation,Hidrology,Research,Universities
1498,mma simulation,Hidrology,Research,Universities
1499,mma simulation,Hidrology,Research,Universities
1500,regional simulation,Hidrology,Research,Universities
1502,cr2met,Hidrology,Research,Center Research
1503,precipitation,Meteorology,Research,Universities
1504,precipitation,Environmental,Teaching,Other educational institutions
1505,max/min temperature,Fishing/Aquaculture,Research,Private sector (companies)
1506,regional simulation,Meteorology,Research,Universities
1507,flow,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
